Country,StartTime,Work and study,Travel to/from work/study,Household work,Sleep and other personal care,Eating,Freetime,TV and video,Unspecified time
Belgium,4:00,1.04,0.07,0.16,97.16,0.15,1.01,0.17,0.24
Belgium,4:10,1.09,0.09,0.28,97.14,0.18,0.85,0.14,0.23
Belgium,4:20,1.09,0.15,0.18,96.94,0.4,0.81,0.17,0.25
Belgium,4:30,1.13,0.35,0.23,96.51,0.27,1.09,0.17,0.27
Belgium,4:40,1.23,0.34,0.36,96.46,0.2,0.97,0.15,0.29
Belgium,4:50,1.26,0.35,0.44,95.81,0.49,1.16,0.18,0.31
Belgium,5:00,1.53,0.34,0.61,94.76,0.49,1.78,0.21,0.27
Belgium,5:10,1.6,0.47,0.68,94.82,0.61,1.34,0.21,0.27
Belgium,5:20,1.71,0.64,0.61,94.54,0.65,1.25,0.24,0.36
Belgium,5:30,1.83,0.95,0.7,93.31,0.77,1.84,0.22,0.37
Belgium,5:40,1.94,1.26,0.99,92.77,0.74,1.74,0.24,0.3
Belgium,5:50,2.31,1.22,1.08,91.76,0.98,2.09,0.21,0.36
Belgium,6:00,3.08,1.06,1.39,88.08,1,4.81,0.23,0.34
Belgium,6:10,3.24,1.35,2.19,87.62,1.81,3.12,0.29,0.37
Belgium,6:20,3.44,1.5,2.28,86.05,2.33,3.74,0.25,0.41
Belgium,6:30,3.82,2.19,2.82,81.16,3.08,6.15,0.25,0.54
Belgium,6:40,4,2.93,3.79,79.9,3.39,5.09,0.29,0.62
Belgium,6:50,4.53,3.19,4.62,77.6,4.1,4.95,0.31,0.7
Belgium,7:00,5.6,3.78,4.95,68.03,5.77,10.7,0.39,0.77
Belgium,7:10,6.19,4.34,7.09,67.4,7.35,6.62,0.35,0.66
Belgium,7:20,6.89,5.44,7.87,63.96,7.84,6.71,0.41,0.89
Belgium,7:30,8.48,6.14,8.29,57.82,8.63,9.13,0.48,1.05
Belgium,7:40,9.79,6.76,10.08,56.38,8.74,6.5,0.48,1.27
Belgium,7:50,10.74,7.39,10.4,52.34,9.65,7.59,0.54,1.35
Belgium,8:00,15.21,5.52,12.14,43.05,10.23,11.95,0.69,1.2
Belgium,8:10,16.53,5.58,13.99,41.74,11.18,9,0.6,1.39
Belgium,8:20,17.76,5.76,15.55,38.62,11.04,9.1,0.65,1.52
Belgium,8:30,20.39,4.76,17.02,33.44,11.36,10.8,0.71,1.52
Belgium,8:40,22.35,3.95,17.75,32.19,11.66,9.55,0.84,1.7
Belgium,8:50,23.44,3.63,19.43,30.09,10.7,10.06,0.77,1.88
Belgium,9:00,25.33,1.98,22.31,23.34,9.38,14.58,0.81,2.29
Belgium,9:10,26.16,1.78,24.74,22.75,8.97,12.58,0.82,2.2
Belgium,9:20,26.98,1.55,26.95,20.83,7.98,12.58,0.99,2.14
Belgium,9:30,27.5,1.28,28.03,18.39,8.01,13.6,0.95,2.23
Belgium,9:40,27.93,1.24,29.78,17.17,6.81,13.28,1.14,2.65
Belgium,9:50,28.09,1.23,30.75,15.25,6.3,14.45,1.27,2.67
Belgium,10:00,27.83,0.85,32.67,11.63,6.66,16.23,1.31,2.81
Belgium,10:10,28.28,0.71,33.66,11.58,6.6,15.29,1.33,2.54
Belgium,10:20,28.72,0.77,34.09,10.63,5.79,16.14,1.3,2.56
Belgium,10:30,28.79,0.71,34.52,9.32,5.4,17.29,1.27,2.7
Belgium,10:40,29.22,0.53,35.58,8.3,4.71,17.41,1.57,2.69
Belgium,10:50,29.37,0.62,35.57,7.96,4.27,17.5,1.76,2.95
Belgium,11:00,29.12,0.47,35.8,6.83,4.84,17.92,1.9,3.13
Belgium,11:10,29.46,0.51,36.34,6.53,4.78,17.67,2.08,2.63
Belgium,11:20,29.62,0.47,36.91,5.84,4.53,17.91,2.17,2.54
Belgium,11:30,28.99,0.64,36.83,5.26,5.25,17.68,2.41,2.93
Belgium,11:40,28.81,0.76,37.01,5.05,5.81,17.16,2.56,2.84
Belgium,11:50,27.88,0.88,35.76,4.86,7.71,17.16,2.51,3.22
Belgium,12:00,20.83,1.77,27.04,3.9,25.98,14.18,2.88,3.41
Belgium,12:10,19.07,1.4,25.04,3.83,31.65,13.09,3.1,2.82
Belgium,12:20,18.07,1.3,23.8,3.79,34.06,13.06,3.25,2.69
Belgium,12:30,16.97,1.82,23.08,3.56,34.26,13.69,3.94,2.66
Belgium,12:40,17.67,1.93,24.44,3.74,29.29,15.37,4.94,2.62
Belgium,12:50,18.18,2.41,24.27,3.84,27.07,15.65,5.99,2.61
Belgium,13:00,20.66,2.16,20.36,4.15,20.58,16.06,13.29,2.73
Belgium,13:10,21.81,1.76,20.2,4.08,19.25,16.88,13.69,2.34
Belgium,13:20,22.41,1.78,20.5,4.25,17.59,18.02,13.29,2.16
Belgium,13:30,23.88,1.69,22.21,4.52,14.42,19.7,10.97,2.6
Belgium,13:40,24.87,1.89,24.9,5.04,11.47,21.77,7.22,2.83
Belgium,13:50,25.47,1.6,25.46,5.21,9.91,23.1,5.97,3.29
Belgium,14:00,26.04,1.67,27.73,4.54,7.53,24.14,4.55,3.79
Belgium,14:10,26.11,1.67,27.72,4.43,7.16,24.78,4.65,3.48
Belgium,14:20,26.45,1.5,28.4,4.2,6.56,24.75,4.93,3.22
Belgium,14:30,26.14,1.57,28.48,4.05,6.33,25,5.22,3.2
Belgium,14:40,26.04,1.4,28.32,3.95,6.24,25.31,5.35,3.38
Belgium,14:50,25.87,1.29,28.35,3.88,5.72,25.55,5.5,3.84
Belgium,15:00,25.22,1.2,28,3.86,6.54,25.29,5.67,4.23
Belgium,15:10,25.3,1.28,28.1,3.79,6.41,25.46,5.99,3.66
Belgium,15:20,25.29,1.35,28.57,3.2,5.47,26.53,6.1,3.48
Belgium,15:30,24.82,1.56,28.74,3.11,5.26,26.71,6.28,3.51
Belgium,15:40,24.26,1.84,28.46,3.14,5.33,26.94,6.57,3.46
Belgium,15:50,23.91,2.06,28.03,3.2,5.64,26.99,6.5,3.66
Belgium,16:00,22.06,2.65,28.02,2.44,7.54,26.85,6.11,4.33
Belgium,16:10,21.35,2.88,28.55,2.66,7.18,27.11,6.28,3.99
Belgium,16:20,20.45,3.28,28.23,2.37,6.79,28.48,6.59,3.81
Belgium,16:30,18.94,3.99,28.53,2.49,6.59,28.59,6.97,3.88
Belgium,16:40,17.34,4.35,29.34,2.81,6.26,28.63,7.21,4.06
Belgium,16:50,16.22,4.45,29.99,2.96,6.38,28.8,7.37,3.83
Belgium,17:00,13.53,4.96,30.94,3.06,7.96,27.18,7.52,4.85
Belgium,17:10,12.52,4.65,31.32,3.06,8.7,27.35,7.82,4.58
Belgium,17:20,12.13,4.05,31.11,3.24,9.09,27.74,8.19,4.45
Belgium,17:30,11.44,3.62,32.22,3.05,10,26.67,8.77,4.22
Belgium,17:40,10.32,3.53,31.98,2.98,11.17,26.23,9.34,4.45
Belgium,17:50,10,3.08,31.94,2.87,11.74,25.95,9.77,4.64
Belgium,18:00,8.55,3.21,29.09,3.04,17.03,22.7,11.75,4.63
Belgium,18:10,8.06,2.86,27.67,3.44,18.77,22.8,11.97,4.43
Belgium,18:20,7.5,2.67,27.89,3.28,20.03,22.36,12.19,4.07
Belgium,18:30,6.89,2.13,26.99,3.24,21.14,22.33,13.13,4.15
Belgium,18:40,6.6,1.91,25.9,3.65,21.11,22.29,14.61,3.92
Belgium,18:50,6.48,1.5,25.35,3.38,21.15,21.89,16,4.24
Belgium,19:00,5.57,1.55,21.25,3.03,20.37,18.62,24.74,4.88
Belgium,19:10,5.37,1.3,20.68,2.97,20.28,19.26,26.16,3.98
Belgium,19:20,5.3,1.12,20.45,2.97,19.83,19.39,26.92,4.02
Belgium,19:30,5.4,1.03,20.5,2.93,18,19.76,28.63,3.76
Belgium,19:40,5.31,0.79,20.86,3.34,16.18,20.47,29.17,3.87
Belgium,19:50,5.23,0.7,19.73,3.59,15.23,21.47,30.49,3.56
Belgium,20:00,4.7,0.7,18.38,4.62,14.58,21.18,32.65,3.19
Belgium,20:10,4.55,0.62,17.19,4.55,13.95,21.54,34.82,2.77
Belgium,20:20,4.5,0.63,15.37,4.58,13.72,22.1,36.76,2.35
Belgium,20:30,4.48,0.6,14.57,4.46,12.22,22.95,38.63,2.09
Belgium,20:40,4.4,0.54,12.79,4.53,11.52,23.71,40.84,1.68
Belgium,20:50,4.33,0.53,11.99,4.38,10.14,23.62,43.31,1.69
Belgium,21:00,4.08,0.7,10.46,6.16,8.5,22.59,45.28,2.23
Belgium,21:10,3.87,0.68,9.13,7.11,7.97,22.19,47.33,1.72
Belgium,21:20,3.82,0.54,7.91,7.46,7.51,22.07,48.99,1.71
Belgium,21:30,3.63,0.54,7.17,9.04,6.55,21.53,49.84,1.71
Belgium,21:40,3.41,0.52,6.72,10.74,6,21.01,49.77,1.83
Belgium,21:50,3.29,0.43,5.97,12.56,5.58,20.18,49.93,2.07
Belgium,22:00,2.56,0.58,5.8,20.69,4.62,18.48,45.14,2.13
Belgium,22:10,2.36,0.67,5.42,22.64,4.43,18.19,44.79,1.48
Belgium,22:20,2.3,0.55,4.91,25.33,3.87,17.79,43.92,1.33
Belgium,22:30,2.22,0.41,4.41,31.19,3.96,16.55,39.62,1.64
Belgium,22:40,2,0.36,3.87,36.85,3.4,16.3,35.59,1.62
Belgium,22:50,1.87,0.27,3.88,41.77,3.17,15.77,31.88,1.4
Belgium,23:00,1.61,0.22,3.5,54.79,2.73,13.68,21.82,1.65
Belgium,23:10,1.53,0.23,2.91,59.29,2.63,12.52,19.57,1.32
Belgium,23:20,1.48,0.18,2.56,63.03,2.2,11.74,17.72,1.09
Belgium,23:30,1.41,0.15,2.02,68.17,1.94,10.48,14.59,1.23
Belgium,23:40,1.26,0.09,1.76,72.49,1.9,9.22,12.12,1.15
Belgium,23:50,1.22,0.13,1.45,75.18,1.56,8.62,10.84,0.99
Belgium,0:00,1.09,0.05,1.05,81.32,1.2,6.94,7.56,0.8
Belgium,0:10,1.13,0.07,0.74,83.24,1.23,6.47,6.45,0.67
Belgium,0:20,1.13,0.04,0.67,84.64,0.95,6.03,5.89,0.65
Belgium,0:30,1.17,0.03,0.63,86.55,0.74,5.59,4.73,0.57
Belgium,0:40,1.15,0.05,0.52,88.1,0.71,5.04,3.97,0.47
Belgium,0:50,1.14,0.03,0.51,89.46,0.68,4.43,3.35,0.41
Belgium,1:00,0.99,0.05,0.44,91.88,0.68,3.37,2.06,0.52
Belgium,1:10,0.9,0.03,0.38,92.34,0.65,3.25,2.01,0.44
Belgium,1:20,0.92,0.09,0.25,92.95,0.63,3.01,1.8,0.34
Belgium,1:30,0.84,0.08,0.23,93.58,0.56,2.76,1.6,0.35
Belgium,1:40,0.82,0.03,0.33,94.24,0.63,2.46,1.23,0.26
Belgium,1:50,0.79,0.03,0.26,94.6,0.54,2.39,1.16,0.22
Belgium,2:00,0.7,0.03,0.35,95.1,0.47,2.21,0.93,0.2
Belgium,2:10,0.71,0.03,0.24,95.5,0.44,2.02,0.9,0.16
Belgium,2:20,0.73,0.02,0.15,95.96,0.34,1.93,0.7,0.17
Belgium,2:30,0.78,0.02,0.23,96.1,0.27,1.79,0.64,0.16
Belgium,2:40,0.78,0.02,0.22,96.38,0.23,1.57,0.62,0.17
Belgium,2:50,0.78,0.08,0.12,96.51,0.18,1.56,0.6,0.17
Belgium,3:00,0.85,0.03,0.15,96.8,0.25,1.34,0.48,0.1
Belgium,3:10,0.86,0,0.19,96.92,0.25,1.17,0.47,0.13
Belgium,3:20,0.88,0,0.14,97.09,0.21,1.11,0.44,0.12
Belgium,3:30,0.84,0.01,0.11,97.16,0.24,1.07,0.42,0.14
Belgium,3:40,0.86,0.05,0.14,97.31,0.17,0.98,0.39,0.09
Belgium,3:50,0.87,0.05,0.14,97.42,0.17,0.82,0.38,0.14
Bulgaria,4:00,1.14,0.02,0.08,98.54,0.01,0.19,0.03,0
Bulgaria,4:10,1.14,0.04,0.09,98.45,0.07,0.18,0.03,0
Bulgaria,4:20,1.15,0.17,0.12,98.21,0.08,0.24,0.03,0
Bulgaria,4:30,1.31,0.27,0.11,97.97,0.08,0.25,0.01,0
Bulgaria,4:40,1.35,0.31,0.08,97.91,0.09,0.23,0.02,0
Bulgaria,4:50,1.45,0.3,0.15,97.7,0.13,0.24,0.04,0
Bulgaria,5:00,1.72,0.28,0.32,97.26,0.08,0.31,0.03,0
Bulgaria,5:10,1.76,0.38,0.48,96.84,0.12,0.37,0.04,0
Bulgaria,5:20,1.87,0.54,0.89,95.95,0.32,0.38,0.05,0
Bulgaria,5:30,2.09,0.63,1.24,95.02,0.52,0.44,0.05,0.01
Bulgaria,5:40,2.19,0.98,1.54,94.3,0.49,0.39,0.1,0.01
Bulgaria,5:50,2.29,1.39,1.94,93.21,0.48,0.54,0.14,0.02
Bulgaria,6:00,3.21,1.05,3.21,90.7,0.82,0.84,0.16,0.02
Bulgaria,6:10,3.19,1.47,4.45,88.31,1.39,0.98,0.18,0.03
Bulgaria,6:20,3.45,1.99,6.69,83.87,2.58,1.14,0.27,0.02
Bulgaria,6:30,4.05,2.69,8.89,78.76,3.95,1.31,0.3,0.04
Bulgaria,6:40,4.27,3.61,11.09,74.74,4.22,1.59,0.42,0.07
Bulgaria,6:50,4.61,4.86,11.91,70.93,5.39,1.76,0.51,0.03
Bulgaria,7:00,6.75,5.54,14.56,62.71,7.47,2.21,0.7,0.07
Bulgaria,7:10,7,6.55,16.9,57.12,9.34,2.34,0.7,0.06
Bulgaria,7:20,7.4,8.13,20.64,48.84,11.65,2.4,0.85,0.08
Bulgaria,7:30,10.59,8.21,23.5,41.06,12.97,2.66,0.9,0.11
Bulgaria,7:40,11.43,10,25.27,36.44,12.81,2.99,0.96,0.1
Bulgaria,7:50,12.64,11.59,25.69,33.06,12.34,3.49,1.07,0.11
Bulgaria,8:00,22.92,3.79,27.19,28.21,12.45,3.9,1.36,0.18
Bulgaria,8:10,23.36,4.33,27.89,25.27,13.25,4.22,1.48,0.2
Bulgaria,8:20,24.01,4.42,29.66,21.02,14.5,4.55,1.65,0.18
Bulgaria,8:30,27.02,2.49,32.08,16.36,14.71,5.25,1.82,0.28
Bulgaria,8:40,27.43,2.64,32.69,14.25,14.73,5.83,2.13,0.3
Bulgaria,8:50,27.68,3.01,33.83,12.83,13.98,6.17,2.18,0.32
Bulgaria,9:00,30.64,1.05,34.75,10.81,12.66,7.09,2.58,0.43
Bulgaria,9:10,30.83,1.02,35.92,9.85,11.65,7.41,2.9,0.41
Bulgaria,9:20,31.09,0.99,36.87,8.37,11.11,7.94,3.26,0.37
Bulgaria,9:30,31.54,0.78,38.25,6.92,9.75,8.83,3.53,0.39
Bulgaria,9:40,31.68,0.73,38.73,6.19,8.82,9.45,3.96,0.44
Bulgaria,9:50,31.75,0.89,38.52,5.68,8.32,10.16,4.23,0.46
Bulgaria,10:00,32.2,0.45,39.19,5.2,6.59,11.5,4.18,0.68
Bulgaria,10:10,32.38,0.35,39.14,4.81,6.6,11.64,4.52,0.56
Bulgaria,10:20,32.5,0.37,39.11,3.97,6.62,12.04,4.83,0.56
Bulgaria,10:30,32.58,0.4,39.65,3.32,5.69,12.7,5.17,0.49
Bulgaria,10:40,32.64,0.37,39.58,3.16,5.37,13.07,5.39,0.43
Bulgaria,10:50,32.77,0.31,39.59,3.01,4.74,13.54,5.62,0.42
Bulgaria,11:00,32.75,0.27,39.23,2.92,3.71,14.19,6.46,0.47
Bulgaria,11:10,32.71,0.17,39.05,2.79,3.83,14.1,6.87,0.49
Bulgaria,11:20,32.67,0.18,38.88,2.45,3.91,14.23,7.19,0.48
Bulgaria,11:30,32.23,0.23,38.68,2.33,4.21,14.44,7.46,0.42
Bulgaria,11:40,32.14,0.26,38.36,2.33,4.3,14.72,7.46,0.43
Bulgaria,11:50,31.54,0.49,37.61,2.65,5.55,14.61,7.12,0.44
Bulgaria,12:00,14.4,1.99,30.27,2.57,32.51,12.62,5.07,0.56
Bulgaria,12:10,14.13,1.14,28.47,2.46,36.8,11.74,4.86,0.4
Bulgaria,12:20,14.39,0.49,26.19,2.5,39.72,11.7,4.66,0.35
Bulgaria,12:30,17.94,0.57,24.98,3.42,35.16,12.82,4.7,0.4
Bulgaria,12:40,18.05,0.84,25.21,4.16,33.19,13.3,4.83,0.42
Bulgaria,12:50,18.24,1.41,24.67,5.1,31.77,13.65,4.73,0.44
Bulgaria,13:00,25.25,1.19,21.75,10.4,24.11,11.81,5.08,0.41
Bulgaria,13:10,25.36,1.11,21.08,10.89,23.91,11.82,5.43,0.4
Bulgaria,13:20,26.03,1.08,20.05,12.26,21.93,12.44,5.84,0.38
Bulgaria,13:30,28.22,0.92,20.44,14.99,15.67,13.22,6.23,0.32
Bulgaria,13:40,28.29,0.95,20.34,16.36,13.28,13.78,6.67,0.34
Bulgaria,13:50,28.4,1.12,19.67,17.6,11.85,14.2,6.82,0.35
Bulgaria,14:00,28.72,1.32,20.36,21.5,7.78,13.67,6.26,0.39
Bulgaria,14:10,28.84,1.06,19.75,22.51,7.63,13.59,6.32,0.3
Bulgaria,14:20,28.89,0.79,19.07,23.09,7.6,13.67,6.6,0.27
Bulgaria,14:30,29.18,0.82,19.74,23.34,6.02,13.78,6.81,0.32
Bulgaria,14:40,29.23,0.72,19.9,23.84,5.18,13.91,6.86,0.35
Bulgaria,14:50,29.22,0.81,19.45,24.18,4.8,14.22,6.89,0.41
Bulgaria,15:00,29.3,0.84,22.98,20.42,4.86,14.76,6.52,0.33
Bulgaria,15:10,29.29,0.78,23.35,19.31,5.06,15.02,6.87,0.33
Bulgaria,15:20,29.3,0.61,23.64,18.81,5.15,15.12,7.11,0.26
Bulgaria,15:30,29.04,0.81,24.88,17.59,4.54,15.5,7.31,0.33
Bulgaria,15:40,28.96,0.76,25.02,17.04,4.45,15.85,7.57,0.36
Bulgaria,15:50,28.92,0.68,25.18,16.39,4.53,16.2,7.68,0.41
Bulgaria,16:00,27.63,1.48,28.9,9.12,6.51,18.46,7.43,0.46
Bulgaria,16:10,27.5,1.27,29.19,8.14,7.31,18.5,7.71,0.37
Bulgaria,16:20,27.16,1.29,29.97,7.01,7.1,19.01,8.12,0.33
Bulgaria,16:30,24.84,2.8,31.33,6.02,6.01,19.82,8.91,0.27
Bulgaria,16:40,24.38,2.79,31.36,5.88,5.84,20.07,9.37,0.3
Bulgaria,16:50,23.92,2.75,31.43,5.74,5.51,20.62,9.67,0.37
Bulgaria,17:00,15.79,7.77,32.93,4.18,4.9,21.41,12.66,0.36
Bulgaria,17:10,15.15,7.02,32.89,3.85,5.56,21.27,13.95,0.3
Bulgaria,17:20,14.7,6,32.59,3.63,5.38,21.82,15.63,0.26
Bulgaria,17:30,12.86,5.59,32.73,3.71,5.39,22.12,17.31,0.29
Bulgaria,17:40,12.65,4.37,32.47,4.14,5.33,22.49,18.23,0.31
Bulgaria,17:50,12.5,3.59,32.7,4.03,5.67,22.51,18.73,0.26
Bulgaria,18:00,9.93,3.64,32.87,4.07,9.89,21.38,17.88,0.34
Bulgaria,18:10,9.63,2.99,33.14,4.05,11.37,20.36,18.23,0.23
Bulgaria,18:20,9.34,2.3,33.52,3.64,12.73,20.1,18.17,0.2
Bulgaria,18:30,8.73,2.5,33.3,3.72,13.91,19.28,18.36,0.21
Bulgaria,18:40,8.63,1.84,33.05,3.94,14.28,19.12,19,0.15
Bulgaria,18:50,8.52,1.53,32.04,4.01,16.41,18.84,18.47,0.18
Bulgaria,19:00,6.12,2.57,28.04,3.8,25.17,16.82,17.3,0.18
Bulgaria,19:10,5.93,2.12,27.03,3.72,27.03,15.52,18.48,0.18
Bulgaria,19:20,5.76,1.6,25.97,3.43,28.08,15.15,19.82,0.19
Bulgaria,19:30,5.32,1.5,25.84,3.54,26.07,14.83,22.77,0.14
Bulgaria,19:40,5.07,1.22,26.66,3.65,24.13,14.3,24.8,0.16
Bulgaria,19:50,4.99,0.94,25.63,3.06,24.41,14.12,26.68,0.18
Bulgaria,20:00,3.9,1.27,18.72,3.62,26.3,11.31,34.64,0.24
Bulgaria,20:10,3.84,0.89,17.36,3.65,27.28,10.36,36.36,0.25
Bulgaria,20:20,3.66,0.75,16.08,3.75,26.53,10.11,38.84,0.28
Bulgaria,20:30,3.52,0.67,16.22,4.34,21.84,10.59,42.5,0.32
Bulgaria,20:40,3.51,0.5,16.36,4.77,18.5,10.53,45.55,0.27
Bulgaria,20:50,3.4,0.5,15.3,5.66,16.86,10.62,47.36,0.31
Bulgaria,21:00,2.95,0.63,12.7,10.24,11.91,10.71,50.33,0.53
Bulgaria,21:10,2.96,0.49,11.27,11.24,10.86,10.12,52.43,0.64
Bulgaria,21:20,2.88,0.42,9.87,12.35,10.02,9.67,54,0.78
Bulgaria,21:30,2.87,0.35,8.73,15.08,7.96,9.34,54.83,0.84
Bulgaria,21:40,2.79,0.35,7.7,17.81,7.08,9.08,54.25,0.94
Bulgaria,21:50,2.79,0.32,7.28,21.75,6.48,8.64,51.86,0.88
Bulgaria,22:00,2.43,0.45,5.83,42.13,3.88,8.11,36.22,0.95
Bulgaria,22:10,2.37,0.41,4.8,44.73,3.69,7.64,35.48,0.87
Bulgaria,22:20,2.32,0.31,3.89,48.13,3.19,7.28,34.06,0.82
Bulgaria,22:30,2.23,0.33,3.01,54.73,2.45,6.59,30.07,0.61
Bulgaria,22:40,2.2,0.22,2.5,58.29,2.29,5.84,28.08,0.6
Bulgaria,22:50,2.2,0.17,1.81,62.45,2.12,5.5,25.16,0.6
Bulgaria,23:00,1.96,0.19,1.5,75.98,1.24,4.78,13.95,0.38
Bulgaria,23:10,1.89,0.17,1.28,77.98,1.18,4.09,12.98,0.43
Bulgaria,23:20,1.86,0.09,0.79,80.55,1.13,3.57,11.71,0.3
Bulgaria,23:30,1.81,0.06,0.82,85.13,0.91,3.06,7.95,0.25
Bulgaria,23:40,1.76,0.04,0.77,87.34,0.75,2.8,6.25,0.29
Bulgaria,23:50,1.76,0.01,0.51,89.47,0.68,2.38,4.94,0.24
Bulgaria,0:00,1.57,0.18,0.39,93.74,0.46,1.75,1.81,0.11
Bulgaria,0:10,1.52,0.15,0.33,94.47,0.32,1.56,1.57,0.07
Bulgaria,0:20,1.53,0.05,0.28,95.07,0.26,1.36,1.35,0.09
Bulgaria,0:30,1.54,0.03,0.23,95.8,0.23,1.05,1.08,0.04
Bulgaria,0:40,1.54,0.04,0.19,96.08,0.24,0.89,0.99,0.03
Bulgaria,0:50,1.54,0.06,0.14,96.31,0.23,0.81,0.91,0
Bulgaria,1:00,1.53,0.03,0.06,97.09,0.1,0.69,0.49,0
Bulgaria,1:10,1.52,0.06,0.05,97.22,0.09,0.59,0.47,0
Bulgaria,1:20,1.52,0,0.06,97.39,0.12,0.5,0.41,0
Bulgaria,1:30,1.5,0.03,0.04,97.54,0.1,0.44,0.35,0
Bulgaria,1:40,1.48,0.05,0.02,97.62,0.09,0.41,0.32,0
Bulgaria,1:50,1.48,0.01,0.02,97.69,0.09,0.41,0.3,0
Bulgaria,2:00,1.4,0.07,0.05,97.84,0.08,0.42,0.15,0
Bulgaria,2:10,1.39,0.04,0.06,97.93,0.08,0.37,0.14,0
Bulgaria,2:20,1.39,0,0.04,98.1,0.08,0.27,0.13,0
Bulgaria,2:30,1.36,0.01,0.02,98.14,0.07,0.27,0.12,0
Bulgaria,2:40,1.36,0.01,0.02,98.18,0.07,0.24,0.12,0
Bulgaria,2:50,1.36,0,0.04,98.2,0.07,0.21,0.12,0
Bulgaria,3:00,1.37,0,0.06,98.24,0.05,0.19,0.1,0
Bulgaria,3:10,1.37,0,0.08,98.23,0.06,0.16,0.1,0
Bulgaria,3:20,1.36,0.03,0.04,98.25,0.07,0.16,0.1,0
Bulgaria,3:30,1.37,0.02,0.02,98.26,0.05,0.18,0.1,0
Bulgaria,3:40,1.37,0.02,0.03,98.25,0.08,0.16,0.09,0
Bulgaria,3:50,1.37,0.05,0.03,98.29,0.05,0.13,0.09,0
Finland,4:00,1.35,0.12,0.5,96.54,0.3,1.08,0.04,0.07
Finland,4:10,1.31,0.15,0.62,96.39,0.34,1.07,0.04,0.07
Finland,4:20,1.25,0.17,0.42,96.58,0.41,1.03,0.04,0.08
Finland,4:30,1.24,0.23,0.41,96.54,0.44,0.94,0.1,0.1
Finland,4:40,1.31,0.29,0.64,96.19,0.43,0.93,0.11,0.11
Finland,4:50,1.46,0.29,0.75,95.64,0.55,1.13,0.07,0.1
Finland,5:00,1.63,0.31,1.49,94.25,0.8,1.36,0.05,0.11
Finland,5:10,1.69,0.4,1.4,93.3,1.3,1.67,0.07,0.17
Finland,5:20,1.9,0.65,1.68,92.06,1.56,1.93,0.07,0.15
Finland,5:30,2.09,1.06,2.2,90.68,1.55,2.13,0.07,0.22
Finland,5:40,2.38,1.34,2.52,89.01,1.92,2.5,0.1,0.23
Finland,5:50,2.86,1.5,3.31,86.37,2.67,2.69,0.21,0.39
Finland,6:00,4.16,1.44,4.38,82.16,3.31,3.56,0.7,0.3
Finland,6:10,4.43,2.13,4.91,78.9,4.69,3.92,0.72,0.3
Finland,6:20,4.88,2.76,5.27,76.79,4.55,4.74,0.68,0.34
Finland,6:30,6.05,3.87,6.18,72.59,4.63,5.35,1.02,0.31
Finland,6:40,6.95,5.05,6.46,69.31,5.11,5.73,1.03,0.34
Finland,6:50,9.26,5,6.81,65.67,5.45,6.11,1.24,0.45
Finland,7:00,12.81,3.26,8.96,59.24,6.09,7.13,1.95,0.56
Finland,7:10,13.63,3.75,9.71,55.35,7.36,7.59,1.94,0.67
Finland,7:20,14.69,4.2,10.52,52,7.56,8.18,2.23,0.63
Finland,7:30,16.31,5.16,11.76,48.02,7.09,8.43,2.51,0.72
Finland,7:40,17.73,6.21,11.33,44.38,7.56,9.57,2.49,0.73
Finland,7:50,20.3,5.85,11.63,41.05,7.46,10.28,2.74,0.69
Finland,8:00,24.46,3.6,13.9,35.88,7.08,10.86,3.59,0.62
Finland,8:10,25.74,2.96,15.36,31.93,8.41,11.27,3.6,0.73
Finland,8:20,26.82,2.86,14.8,30.16,8.67,12.38,3.51,0.8
Finland,8:30,27.83,2.86,16.08,27.23,8.2,13.43,3.59,0.78
Finland,8:40,28.77,2.86,17.09,25.13,7.42,14.38,3.53,0.83
Finland,8:50,30.06,2.14,17.67,22.98,7.83,15.06,3.45,0.8
Finland,9:00,31.83,1.07,20.56,20.28,7.56,15.16,2.8,0.75
Finland,9:10,32.38,0.83,21.31,18.02,7.81,16.16,2.71,0.77
Finland,9:20,32.73,0.95,22.19,16.33,7.2,16.83,3,0.76
Finland,9:30,33.01,0.92,23.7,14.62,6.33,17.82,2.87,0.75
Finland,9:40,33.32,0.76,24.02,13.77,5.62,18.73,2.94,0.85
Finland,9:50,33.64,0.59,25.12,12.13,5.22,19.33,2.99,0.99
Finland,10:00,33.72,0.67,26.35,10.78,5.2,19.96,2.02,1.29
Finland,10:10,34.17,0.44,26.59,9.57,5.48,20.36,2.31,1.08
Finland,10:20,34.66,0.26,25.99,8.56,5.47,21.33,2.56,1.18
Finland,10:30,34.25,0.41,26.83,7.75,5.69,21.17,2.75,1.14
Finland,10:40,33.79,0.47,27.15,6.93,6.27,21.39,2.77,1.24
Finland,10:50,33.05,0.49,27.35,6.54,7.31,21.09,2.85,1.33
Finland,11:00,27.31,0.49,28.77,5.76,13.61,20.45,2.18,1.43
Finland,11:10,26.45,0.49,27.98,5.44,15.26,20.96,2.31,1.1
Finland,11:20,26.45,0.65,27.94,4.8,14.44,22.13,2.45,1.15
Finland,11:30,27.93,0.69,28.64,4.65,12.58,21.57,2.51,1.43
Finland,11:40,27.98,0.54,27.7,4.71,13.16,21.98,2.52,1.41
Finland,11:50,28.33,0.51,27.35,4.46,12.45,22.7,2.64,1.55
